hex_id,area_fm,lat_centroide,lon_centroide,y_lag1,prob_crime,decil_risco,top_driver_1,contrib_top1,top_driver_2,contrib_top2,top_driver_3,contrib_top3,y_lag1,y_lag2,y_lag4,y_lag12,n_crimes_12w,W_y_lag1,n_fat_ilum,n_fat_vegetac,n_fat_lixo,n_fat_calcada,n_fat_transito,n_fat_mobil,n_fat_sitrua,n_fat_total,n_cameras,n_cameras_ring1,week_sin,week_cos,is_holiday_week,n_dd_lag1,orcrim_CV,orcrim_Milícia,orcrim_Sem domínio,orcrim_TCP,fe_area_Campo Grande: Estação de Trem - Calçadão,fe_area_Estações São Francisco Xavier - Afonso Pena,fe_area_Jardim de Alah,fe_area_Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria,fe_area_Praia de Botafogo - Rua Marquês de Abrantes,fe_area_Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,fe_area_Rua Lauro Müller – Avenida General Severiano – Avenida Venceslau Brás
89a8a0291d3ffff,Campo Grande: Estação de Trem - Calçadão,-22.902135728313098,-43.555409135304195,0,0.3848683879163012,5,fe_area_Campo Grande: Estação de Trem - Calçadão,0.3473,orcrim_Milícia,0.211,n_fat_total,0.1152,0,0,1,0,3.0,0.0,2.0,2.0,0.0,5.0,3.0,2.0,3.0,17.0,3.0,16.0,0.12053668025532305,0.992708874098054,0,0.0,False,True,False,False,True,False,False,False,False,False,False,False
89a8a0291d7ffff,Campo Grande: Estação de Trem - Calçadão,-22.90050427072255,-43.55844220824056,0,0.27937897167756154,3,fe_area_Campo Grande: Estação de Trem - Calçadão,0.4066,n_fat_total,0.127,n_fat_transito,0.1255,0,0,0,1,4.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,5.0,16.0,3.0,17.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,True,False,False,False,False,False,False,False
89a8a0291dbffff,Campo Grande: Estação de Trem - Calçadão,-22.900666548974243,-43.55230032357986,0,0.12469224185931263,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.7048,n_crimes_12w,0.1075,orcrim_Sem domínio,0.0791,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,True,False,False,False,False,False,False,False
89a8a029563ffff,Campo Grande: Estação de Trem - Calçadão,-22.906705253656874,-43.55859369789802,0,0.17682712056014036,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.579,orcrim_Milícia,0.3518,W_y_lag1,0.0251,0,0,0,0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.12053668025532305,0.992708874098054,0,0.0,False,True,False,False,True,False,False,False,False,False,False,False
89a8a029567ffff,Campo Grande: Estação de Trem - Calçadão,-22.905073818130006,-43.56162677575326,0,0.2558148305470519,2,fe_area_Campo Grande: Estação de Trem - Calçadão,0.4364,orcrim_Milícia,0.2651,n_fat_total,0.0852,0,0,1,0,1.0,0.16666666666666666,3.0,4.0,0.0,2.0,1.0,0.0,0.0,10.0,0.0,0.0,0.12053668025532305,0.992708874098054,0,0.0,False,True,False,False,True,False,False,False,False,False,False,False
89a8a02956bffff,Campo Grande: Estação de Trem - Calçadão,-22.905236222624378,-43.55548486533348,0,0.3082038327022136,3,fe_area_Campo Grande: Estação de Trem - Calçadão,0.4171,orcrim_Milícia,0.2535,n_fat_total,0.0895,0,0,0,1,2.0,0.0,1.0,1.0,0.0,5.0,3.0,1.0,0.0,11.0,0.0,0.0,0.12053668025532305,0.992708874098054,0,0.0,False,True,False,False,True,False,False,False,False,False,False,False
89a8a02956fffff,Campo Grande: Estação de Trem - Calçadão,-22.90360481803516,-43.55851795270143,0,0.24078422957907095,2,fe_area_Campo Grande: Estação de Trem - Calçadão,0.4738,orcrim_Milícia,0.2879,n_crimes_12w,0.1084,0,0,0,1,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,8.0,0.12053668025532305,0.992708874098054,0,0.0,False,True,False,False,True,False,False,False,False,False,False,False
89a8a029577ffff,Campo Grande: Estação de Trem - Calçadão,-22.90817419505263,-43.56170253611676,1,0.24219095988576536,2,fe_area_Campo Grande: Estação de Trem - Calçadão,0.4893,orcrim_Milícia,0.2973,n_crimes_12w,0.112,1,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.12053668025532305,0.992708874098054,0,0.0,False,True,False,False,True,False,False,False,False,False,False,False
89a8a06121bffff,Rodoviária - Terminal Gentileza - Estação Leopoldina,-22.90302711283406,-43.21429516375738,0,0.260134401353327,3,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,0.3897,n_cameras_ring1,0.3234,orcrim_Sem domínio,0.1517,0,0,0,0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,35.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,False,False,False,False,False,True,False
89a8a061243ffff,Rodoviária - Terminal Gentileza - Estação Leopoldina,-22.900075024739984,-43.2080774220894,1,0.4849051685728362,6,n_crimes_12w,0.2468,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,0.1866,n_cameras_ring1,0.1328,1,1,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,30.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,False,False,False,False,False,True,False
