hex_id,area_fm,lat_centroide,lon_centroide,y_lag1,prob_crime,decil_risco,top_driver_1,contrib_top1,top_driver_2,contrib_top2,top_driver_3,contrib_top3,y_lag1,y_lag2,y_lag4,y_lag12,n_crimes_12w,W_y_lag1,n_fat_ilum,n_fat_vegetac,n_fat_lixo,n_fat_calcada,n_fat_transito,n_fat_mobil,n_fat_sitrua,n_fat_total,n_cameras,n_cameras_ring1,week_sin,week_cos,is_holiday_week,n_dd_lag1,orcrim_CV,orcrim_Milícia,orcrim_Sem domínio,orcrim_TCP,fe_area_Campo Grande: Estação de Trem - Calçadão,fe_area_Estações São Francisco Xavier - Afonso Pena,fe_area_Jardim de Alah,fe_area_Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria,fe_area_Praia de Botafogo - Rua Marquês de Abrantes,fe_area_Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,fe_area_Rua Lauro Müller – Avenida General Severiano – Avenida Venceslau Brás
89a8a029027ffff,Campo Grande: Estação de Trem - Calçadão,-22.89609655669363,-43.54911581858849,0,0.09729312477151233,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.8289,orcrim_Sem domínio,0.0996,n_cameras_ring1,0.0353,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,True,False,False,False,False,False,False,False
89a8a029037ffff,Campo Grande: Estação de Trem - Calçadão,-22.899197280029053,-43.549191517546696,0,0.10593696826461742,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.7846,orcrim_Sem domínio,0.0943,n_cameras_ring1,0.0892,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,True,False,False,False,False,False,False,False
89a8a0290a7ffff,Campo Grande: Estação de Trem - Calçadão,-22.903767101965574,-43.55237603844144,0,0.18348547034320206,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.5711,orcrim_Milícia,0.3635,n_cameras_ring1,0.0487,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.12053668025532305,0.992708874098054,0,0.0,False,True,False,False,True,False,False,False,False,False,False,False
89a8a0290afffff,Campo Grande: Estação de Trem - Calçadão,-22.902297891690907,-43.54926721724019,0,0.1020370928878577,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.809,orcrim_Sem domínio,0.0972,n_cameras_ring1,0.0632,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,True,False,False,False,False,False,False,False
89a8a02918bffff,Campo Grande: Estação de Trem - Calçadão,-22.898872729206868,-43.56147525723382,0,0.10137962198306502,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.8242,orcrim_Sem domínio,0.0991,n_cameras_ring1,0.0527,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,True,False,False,False,False,False,False,False
89a8a029193ffff,Campo Grande: Estação de Trem - Calçadão,-22.9034422986707,-43.56465982964739,0,0.19714943219196343,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.5494,orcrim_Milícia,0.3497,n_crimes_12w,0.0809,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.12053668025532305,0.992708874098054,0,0.0,False,True,False,False,True,False,False,False,False,False,False,False
89a8a02919bffff,Campo Grande: Estação de Trem - Calçadão,-22.9019733295107,-43.56155101612562,0,0.15426189887713157,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.5931,n_fat_total,0.1141,n_fat_calcada,0.0721,0,0,0,0,0.0,0.0,1.0,1.0,0.0,5.0,2.0,1.0,0.0,10.0,1.0,10.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,True,False,False,False,False,False,False,False
89a8a0291c3ffff,Campo Grande: Estação de Trem - Calçadão,-22.899035122316693,-43.55533340601049,0,0.1395620646210904,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.6657,y_lag2,0.1036,n_cameras_ring1,0.0804,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,True,False,False,False,False,False,False,False
89a8a0291c7ffff,Campo Grande: Estação de Trem - Calçadão,-22.897403611731193,-43.558366464515395,0,0.09761612819733863,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.8309,orcrim_Sem domínio,0.0999,n_cameras_ring1,0.0354,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,True,False,False,False,False,False,False,False
89a8a0291cbffff,Campo Grande: Estação de Trem - Calçadão,-22.89756588430358,-43.55222460945371,0,0.10909392317006178,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.7829,n_cameras_ring1,0.1001,orcrim_Sem domínio,0.0941,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,True,False,False,False,False,False,False,False
