hex_id,area_fm,lat_centroide,lon_centroide,y_lag1,prob_crime,decil_risco,top_driver_1,contrib_top1,top_driver_2,contrib_top2,top_driver_3,contrib_top3,y_lag1,y_lag2,y_lag4,y_lag12,n_crimes_12w,W_y_lag1,n_fat_ilum,n_fat_vegetac,n_fat_lixo,n_fat_calcada,n_fat_transito,n_fat_mobil,n_fat_sitrua,n_fat_total,n_cameras,n_cameras_ring1,week_sin,week_cos,is_holiday_week,n_dd_lag1,orcrim_CV,orcrim_Milícia,orcrim_Sem domínio,orcrim_TCP,fe_area_Campo Grande: Estação de Trem - Calçadão,fe_area_Estações São Francisco Xavier - Afonso Pena,fe_area_Jardim de Alah,fe_area_Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria,fe_area_Praia de Botafogo - Rua Marquês de Abrantes,fe_area_Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,fe_area_Rua Lauro Müller – Avenida General Severiano – Avenida Venceslau Brás
89a8a029027ffff,Campo Grande: Estação de Trem - Calçadão,-22.89609655669363,-43.54911581858849,0,0.09810846032541584,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.8312,orcrim_Sem domínio,0.0912,n_cameras_ring1,0.0334,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,True,False,False,False,False,False,False,False
89a8a029037ffff,Campo Grande: Estação de Trem - Calçadão,-22.899197280029053,-43.549191517546696,0,0.10607412861414947,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.7889,orcrim_Sem domínio,0.0866,n_cameras_ring1,0.0844,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,True,False,False,False,False,False,False,False
89a8a0290a7ffff,Campo Grande: Estação de Trem - Calçadão,-22.903767101965574,-43.55237603844144,0,0.17989235023444025,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.5754,orcrim_Milícia,0.3547,n_cameras_ring1,0.0462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.12053668025532305,0.992708874098054,0,0.0,False,True,False,False,True,False,False,False,False,False,False,False
89a8a0290afffff,Campo Grande: Estação de Trem - Calçadão,-22.902297891690907,-43.54926721724019,0,0.10243608538981432,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.8119,orcrim_Sem domínio,0.0891,n_cameras_ring1,0.0597,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,True,False,False,False,False,False,False,False
89a8a02918bffff,Campo Grande: Estação de Trem - Calçadão,-22.898872729206868,-43.56147525723382,0,0.10172376072191547,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.8257,orcrim_Sem domínio,0.0906,n_cameras_ring1,0.0497,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,True,False,False,False,False,False,False,False
89a8a029193ffff,Campo Grande: Estação de Trem - Calçadão,-22.9034422986707,-43.56465982964739,0,0.1962156885393005,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.5485,orcrim_Milícia,0.3381,n_crimes_12w,0.0871,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.12053668025532305,0.992708874098054,0,0.0,False,True,False,False,True,False,False,False,False,False,False,False
89a8a02919bffff,Campo Grande: Estação de Trem - Calçadão,-22.9019733295107,-43.56155101612562,0,0.15330861084340272,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.5961,n_fat_total,0.1106,n_fat_calcada,0.073,0,0,0,0,0.0,0.0,1.0,1.0,0.0,5.0,2.0,1.0,0.0,10.0,1.0,10.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,True,False,False,False,False,False,False,False
89a8a0291c3ffff,Campo Grande: Estação de Trem - Calçadão,-22.899035122316693,-43.55533340601049,0,0.13833396928239497,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.6693,y_lag2,0.0988,n_cameras_ring1,0.0761,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,True,False,False,False,False,False,False,False
89a8a0291c7ffff,Campo Grande: Estação de Trem - Calçadão,-22.897403611731193,-43.558366464515395,0,0.09837466685833489,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.8329,orcrim_Sem domínio,0.0914,n_cameras_ring1,0.0334,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,True,False,False,False,False,False,False,False
89a8a0291cbffff,Campo Grande: Estação de Trem - Calçadão,-22.89756588430358,-43.55222460945371,0,0.10883673146815662,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.7866,n_cameras_ring1,0.0947,orcrim_Sem domínio,0.0863,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,True,False,False,False,False,False,False,False
89a8a0291cfffff,Campo Grande: Estação de Trem - Calçadão,-22.895934404647324,-43.55525767745236,0,0.09528481190698061,1,fe_area_Campo Grande: Estação de Trem - Calçadão,0.8706,orcrim_Sem domínio,0.0956,week_cos,0.0294,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,True,False,False,False,False,False,False,False
